time_s,vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar,beta_true_rad,yaw_acc_rps2,fyf_true_n,fyr_true_n
0.0,25.0,-0.0,0.0,0.0010081682241324223,1.287122437335336e-17,0.0,0.0,0.0,0.0,0.0,-0.0,4.644198828336497e-19,1.1489150280804763e-14,9.748369935228281e-15
0.025,24.994197421603733,-8.176515206179658e-20,-3.4120523100377756e-20,-0.077175424749201,-7.677553162822435e-19,0.0,0.0,0.0,0.0,0.0,-3.2713653766342936e-21,-1.51357309961606e-17,-6.85316015927347e-16,-5.814802559383549e-16
0.05,24.98786714341905,-1.2631378251498773e-19,-1.5565511153020894e-19,-0.10202978423147491,3.476714684892597e-17,0.0,0.0,0.0,0.0,0.0,-5.055004566416325e-21,8.631169572775111e-19,3.1033953211869166e-14,2.6331839088858684e-14
0.075,24.98088624742296,6.024521837346211e-19,-1.5693140230578762e-20,-0.1341802978515625,6.998722090903065e-17,0.0,0.0,0.0,0.0,0.0,2.4116525641550064e-20,2.7043862799143388e-17,6.247219964748721e-14,5.300671485241338e-14
0.1,24.973138173421223,-2.261472044096097e-18,-8.083048790146287e-18,-0.16990782766631154,-2.1381016188602558e-16,0.0,0.0,0.0,0.0,0.0,-9.055618194204242e-20,-3.567431723291992e-15,-1.9085185761793595e-13,-1.6193490949400622e-13
0.125,24.96457205878364,6.0237805916084076e-18,-1.2007111700271607e-17,-0.20622479063091856,3.880933393825271e-16,0.0,0.0,0.0,0.0,0.0,2.41293164466201e-19,3.755475155164815e-15,3.4642102179309184e-13,2.9393298818807785e-13
0.15,24.955209096272785,1.603666266449303e-17,1.4827842168595678e-17,-0.2406232891660748,1.5618384199965943e-16,0.0,0.0,0.0,0.0,0.0,6.426178439389716e-19,1.2669296785209182e-16,1.3941328191608944e-13,1.182900573833486e-13
0.175,24.94511498345269,8.268629751978073e-18,1.4526506110881704e-17,-0.27119140625,4.5985353690039824e-17,0.0,0.0,0.0,0.0,0.0,3.314729059161707e-19,-1.1667037605745019e-17,4.104758210528965e-14,3.4828251483276064e-14
0.1999999999999999,24.934391445583767,6.6677374816674455e-19,1.1770709455026096e-17,-0.2966687104196259,1.3090344621016232e-16,0.0,0.0,0.0,0.0,0.0,2.674112779619651e-20,-1.351189869135816e-16,1.1684742042857933e-13,9.91432658181885e-14
0.2249999999999999,24.92315928141276,1.9411877109155644e-18,4.831699511936127e-18,-0.31642701120087596,3.9821026748643575e-17,0.0,0.0,0.0,0.0,0.0,7.788690386307754e-20,-1.0910093395312237e-16,3.5545162401043326e-14,3.015953173421858e-14
0.2499999999999999,24.911554124620224,-7.865706399245216e-18,1.7937787137285317e-17,-0.3303953228574811,-7.93326738861219e-17,0.0,0.0,0.0,0.0,0.0,-3.157453107861904e-19,-3.665678651327544e-15,-7.081416546064489e-14,-6.008474645145626e-14
0.2749999999999999,24.899696773952908,-4.3992773698020224e-18,3.901910369074101e-17,-0.33895063920454543,1.230809612846484e-15,0.0,0.0,0.0,0.0,0.0,-1.7667995758101044e-19,4.0478907808917e-16,1.0986489085162468e-12,9.321869526804517e-13
0.3,24.88770802815755,-2.4522769228586124e-17,2.7132909121768562e-17,-0.3427869392163826,-3.1224420777143284e-16,0.0,0.0,0.0,0.0,0.0,-9.853365846642632e-19,-5.910693314729442e-16,-2.787163461172872e-13,-2.3648659670557695e-13
0.325,24.87568113538954,-3.806621577970824e-17,1.619142913119309e-17,-0.342790360884233,2.7514015252485143e-16,0.0,0.0,0.0,0.0,0.0,-1.530258229815991e-18,-3.549347358109876e-15,2.4559641483570757e-13,2.083848368302973e-13
0.35,24.863692389594185,-4.2830169508897803e-17,1.0754609908325096e-17,-0.33992296623461177,2.432570859424147e-16,0.0,0.0,0.0,0.0,0.0,-1.722598914022233e-18,-2.961510410242772e-16,2.1713685786171283e-13,1.8423733394327145e-13
0.375,24.85179689195421,-4.654734639287205e-17,-1.4854825777163618e-17,-0.3351288026751894,-1.0148996903640562e-15,0.0,0.0,0.0,0.0,0.0,-1.872997216066167e-18,-1.1168915032606528e-15,-9.059227563987355e-13,-7.686617327019572e-13
0.4000000000000001,24.8400264316135,-3.711523747850138e-17,-2.7544552367719572e-17,-0.3292629357540246,4.89559864796884e-16,0.0,0.0,0.0,0.0,0.0,-1.494170611318892e-18,3.3471752049186138e-15,4.3699237111787437e-13,3.707814057969843e-13
0.4250000000000001,24.82839796278212,-1.0068098676496458e-17,-4.32833638965189e-17,-0.32304545084635417,-2.3830879556517145e-16,0.0,0.0,0.0,0.0,0.0,-4.0550738277953265e-19,-3.799389843013009e-16,-2.1271990030366535e-13,-1.8048961237886754e-13
0.4500000000000001,24.816911485460068,2.1174764890173438e-17,-4.2869931845397786e-17,-0.31703793612393466,3.094113881356576e-16,0.0,0.0,0.0,0.0,0.0,8.532393284546902e-19,2.445226358836739e-16,2.7618770629486157e-13,2.3434108412897345e-13
0.4750000000000001,24.80555640326606,4.2898777707082085e-17,-2.1176502055012048e-17,-0.3116396262428977,5.784983844773341e-16,0.0,0.0,0.0,0.0,0.0,1.729401953726535e-18,-9.59019257914086e-15,5.163809349965712e-13,4.3814139939103007e-13
0.5000000000000001,24.79432000054253,6.011656053916474e-17,-3.445847468788677e-17,-0.3070976118607954,-3.096347024165008e-16,0.0,0.0,0.0,0.0,0.0,2.4246101743403053e-18,-6.4782049658733504e-15,-2.76387041747188e-13,-2.345102172400383e-13
0.5250000000000001,24.783176845974392,7.024830984470761e-17,-4.1740785540558216e-17,-0.3035272586706913,-4.809562176323991e-16,0.0,0.0,0.0,0.0,0.0,2.8345159412490033e-18,1.3030586777459686e-16,-4.293125581981005e-13,-3.6426520089535796e-13
0.5500000000000002,24.77210998535156,8.835972714157664e-17,-5.7203568539334164e-18,-0.3009379901308002,1.037282480408714e-15,0.0,0.0,0.0,0.0,0.0,3.566903553787958e-18,-2.3100045368294048e-15,9.259021484959752e-13,7.85613944178403e-13
0.5750000000000002,24.761091868082683,1.0853455199099665e-16,2.9023543134937427e-17,-0.29926080877130684,5.725404619289548e-16,0.0,0.0,0.0,0.0,0.0,4.383270033859002e-18,6.956623891680037e-16,5.110627565906818e-13,4.3362900559209356e-13
0.6000000000000002,24.75010765923394,8.879381682161136e-17,5.95175321661149e-17,-0.29837422688802084,1.0698986546687435e-16,0.0,0.0,0.0,0.0,0.0,3.587613356844674e-18,2.5287488366941373e-16,9.550160942084113e-14,8.103166859950155e-14
0.6250000000000002,24.73913828531901,3.2851088333566024e-17,6.632894005775817e-17,-0.29812803326231063,-5.824225809193559e-16,0.0,0.0,0.0,0.0,0.0,1.3278994585296813e-18,-1.0460070004982612e-14,-5.198837628042448e-13,-4.4111349571269247e-13
0.6500000000000002,24.7281731499566,-1.9923843546138306e-17,6.194257911560732e-17,-0.2983620568477746,-4.2467716022779476e-17,0.0,0.0,0.0,0.0,0.0,-8.057143334170351e-19,-3.2338235618511488e-15,-3.7907657990825294e-14,-3.2164073446760845e-14
0.6750000000000003,24.717201656765408,-5.2142859277323746e-17,4.3299954694883705e-17,-0.2989211758700284,1.4585045760393014e-16,0.0,0.0,0.0,0.0,0.0,-2.109577775081654e-18,-8.998705448666684e-16,1.301894658448196e-13,1.104637892016651e-13
0.7000000000000003,24.706219567192925,-7.345202079706652e-17,3.220278397663688e-17,-0.2996657862807765,1.955452943137218e-16,0.0,0.0,0.0,0.0,0.0,-2.9730174054877473e-18,-5.124586917975551e-16,1.745482176292156e-13,1.4810151798842534e-13
0.7250000000000003,24.69522476196289,-8.472649989888085e-17,2.095709992666976e-17,-0.30047836766098485,3.0697749918047096e-16,0.0,0.0,0.0,0.0,0.0,-3.4308859593528316e-18,-5.447392762360941e-16,2.740151611537155e-13,2.3249771249406157e-13
0.7500000000000003,24.684213002522785,-8.316844455522564e-17,6.159956186469693e-18,-0.3012666182084517,3.781225367042929e-16,0.0,0.0,0.0,0.0,0.0,-3.3692969894047516e-18,-4.019122365629392e-16,3.3752085448440575e-13,2.8638133107767754e-13
0.7750000000000004,24.67319064670139,-7.43359790868652e-17,-2.1508136924264162e-18,-0.3019640003551136,2.4000064362302173e-16,0.0,0.0,0.0,0.0,0.0,-3.0128239250160917e-18,3.4617144675874685e-18,2.142300827094022e-13,1.8177097926858366e-13
0.8000000000000004,24.66215557522244,-5.545908517478129e-17,-2.6351084842264736e-17,-0.3025280946673769,7.603244095597254e-17,0.0,0.0,0.0,0.0,0.0,-2.248752547425331e-18,2.507485133344502e-16,6.786830180414271e-14,5.758522577321198e-14
0.8250000000000004,24.651114145914715,-4.235381641409905e-17,5.1168194409632215e-18,-0.3029376868045691,-1.6697863692277558e-17,0.0,0.0,0.0,0.0,0.0,-1.7181299053421528e-18,6.925189334337128e-15,-1.490489636138546e-14,-1.264657873087251e-14
0.8500000000000004,24.64007059733073,-4.874932324163787e-17,2.247474958248105e-17,-0.30318852280125475,-2.33461948302146e-16,0.0,0.0,0.0,0.0,0.0,-1.9784571253184196e-18,-2.363401387945197e-16,-2.0839349319757132e-13,-1.7681872150096958e-13
