AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.2940107239157769e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,16.666666666666668,-0.0,2.869163304912862e-17,0.0,0.0,0.0,1,0.0,0.0,0.0
3.251133944060267e-16,0.0,0.0,-1.718836668865264e-20,-3.049384747903281e-16,-61.80851745605469,-54.38505172729492,0.0,0.0,0.0,0.0,0.025,16.663378609551323,-2.8641625592447095e-19,1.7290695310538846e-16,5.199820555237514e-18,0.0,2.0079238418871016e-20,2,2.6184704728277556e-19,0.4166255659527249,5.0960502884268817e-20
2.671181049826031e-16,0.0,0.0,-1.059628563626526e-19,-1.4574355170830433e-16,-84.02241516113281,-76.58548736572266,0.0,0.0,0.0,0.0,0.05,16.659573449028862,-1.7652960254622886e-18,-9.9545742945884e-15,1.0373421624776755e-17,0.0,-1.747670295590138e-20,3,3.1432122950366817e-18,0.8331624666849773,7.344120066384362e-19
-2.3998764100553685e-16,0.0,0.0,-4.470619174831261e-19,-2.8723341342319954e-16,-112.84053802490234,-105.27796173095703,0.0,0.0,0.0,0.0,0.07500000000000001,16.655060450236004,-7.445843306656841e-18,-1.024204795952409e-14,6.803251780879973e-19,0.0,-1.423110701991384e-19,4,6.559639864857791e-18,1.2495953904257882,2.6394699471874304e-18
-9.383669972088273e-16,0.0,0.0,-1.3393068891160975e-18,-1.1074454370937981e-16,-145.1422576904297,-137.29232788085938,0.0,0.0,0.0,0.0,0.1,16.649708218044704,-2.2299068778755516e-17,-6.22688224361e-16,-1.8809798242741037e-17,0.0,-5.390589442764678e-19,5,-4.973992533236515e-18,1.6659049987792969,2.5981044726680687e-18
2.1198295366186494e-16,0.0,0.0,-1.788195927634196e-18,-2.998932459009077e-16,-178.2393035888672,-169.92459106445312,0.0,0.0,0.0,0.0,0.125,16.643462710910374,-2.9761772783564893e-17,-5.04467454747891e-15,-2.0102468689628054e-17,0.0,-1.2391847334155328e-18,6,-3.843101640000558e-17,2.0820696353912354,-7.083164956273421e-18
1.5306977996299942e-16,0.0,0.0,-2.8176788276858794e-19,3.2369760069157197e-16,-209.71090698242188,-200.79855346679688,0.0,0.0,0.0,0.0,0.15,16.63633876376682,-4.687586117314748e-18,5.249151689077887e-15,-1.8098755579384167e-17,0.0,-1.5025449470722293e-18,7,-6.92550615112918e-17,2.4980671538247003,-2.991098010257488e-17
5.198866056151809e-16,0.0,0.0,6.801329924085653e-19,3.192603585907915e-16,-237.52798461914062,-227.96859741210938,0.0,0.0,0.0,0.0,0.175,16.628411610921223,1.1309531339816042e-17,5.177366917347506e-15,7.92957743748451e-18,0.0,-9.464305632119886e-19,8,-7.273565224045773e-17,2.913876533508301,-5.934856864542504e-17
2.455152774341559e-16,0.0,0.0,5.270447406474343e-19,1.414639166481719e-16,-260.1480712890625,-249.98361206054688,0.0,0.0,0.0,0.0,0.19999999999999998,16.619802051120335,8.759379465793533e-18,2.1129103196871533e-16,1.6518205768221868e-17,0.0,-1.4122390445364975e-19,9,-5.51846663522056e-17,3.32947920428382,-8.568066470127908e-17
3.025690281944688e-16,0.0,0.0,8.93100004450306e-20,-6.327222091298722e-16,-276.56060791015625,-265.90692138671875,0.0,0.0,0.0,0.0,0.22499999999999998,16.61066903008355,1.483498797777102e-18,-1.9163425864611797e-14,4.245206843601438e-17,0.0,1.6574703969119206e-18,10,-2.6259368014920547e-17,3.7448600927988687,-1.0246942749880676e-16
1.4641323423501982e-16,0.0,0.0,-6.930999963895723e-20,5.686543631576586e-17,-286.2832336425781,-275.3016662597656,0.0,0.0,0.0,0.0,0.24999999999999997,16.601185268825954,-1.150628107373202e-18,5.087151555717819e-15,2.944604856765481e-17,0.0,5.205402255667555e-18,11,1.5260181973680427e-17,4.160008271535237,-1.0475087365085096e-16
-1.5043985628330376e-15,0.0,0.0,-8.859533449258582e-19,1.7545538383091742e-16,-289.3186950683594,-278.18609619140625,0.0,0.0,0.0,0.0,0.27499999999999997,16.591533025105793,-1.4699323923685338e-17,-1.0237019971949188e-14,3.25023275333023e-17,0.0,1.0753991772654232e-17,12,5.452850367693668e-17,4.574917250209384,-9.047339082940715e-17
-1.1829453241852943e-15,0.0,0.0,-3.6184121453126564e-18,2.4240846351408394e-18,-286.0805969238281,-274.966064453125,0.0,0.0,0.0,0.0,0.3,16.58188819885254,-6.00001082143504e-17,1.4737253504668556e-14,5.331231209427572e-18,0.0,1.7893588126894416e-17,13,8.075674323104563e-17,4.9895850155088635,-6.335949926705585e-17
-5.437714411704381e-16,0.0,0.0,-5.449813469515547e-18,-1.8523544695396178e-16,-277.3027648925781,-266.35272216796875,0.0,0.0,0.0,0.0,0.325,16.57241079542372,-9.031654971493144e-17,5.375528369533518e-16,2.5392077839914413e-18,0.0,2.5608782438972567e-17,14,9.449880062650749e-17,5.404013752937317,-2.892380460094725e-17
-1.021116497944852e-15,0.0,0.0,-6.844987257291137e-18,4.5140428245720847e-17,-263.9410400390625,-253.27064514160156,0.0,0.0,0.0,0.0,0.35000000000000003,16.56323750813802,-1.1337514676120796e-16,-1.7621373002679985e-16,8.92335480231341e-18,0.0,3.3576412640984605e-17,15,1.0191462701927809e-16,5.818209356731839,9.206413149737665e-18
