AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.2871224373353359e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,25.0,-0.0,4.644198828336497e-19,0.0,0.0,0.0,1,0.0,0.0,0.0
1.8646721373844016e-16,0.0,0.0,2.6556413383081645e-20,-1.321753905755455e-16,-67.78651428222656,-59.528560638427734,0.0,0.0,0.0,0.0,0.025,24.994197421603733,6.637562047807707e-19,6.764592311054186e-15,2.6712391725169005e-19,0.0,-1.2996945468953035e-20,2,-5.545488619919682e-20,0.6249274677700467,-9.028677110931537e-21
5.018275101390338e-17,0.0,0.0,-1.233815026263495e-19,-1.047142338571248e-17,-87.8669662475586,-80.07943725585938,0.0,0.0,0.0,0.0,0.05,24.987869262695312,-3.0830411552825215e-18,-2.086768401393048e-17,1.1341355559539731e-17,0.0,1.0965942057196424e-19,3,1.4924027353267453e-17,1.2497033013237848,4.6049001860413036e-18
-1.2642036419465235e-16,0.0,0.0,-4.512012435997139e-19,-8.070921688980207e-18,-113.50287628173828,-106.13795471191406,0.0,0.0,0.0,0.0,0.07500000000000001,24.98090320163303,-1.1271414857189599e-17,-1.443098502566624e-16,9.10988024389826e-18,0.0,3.650105284744391e-19,4,2.978636026772825e-17,1.8743129571278891,1.8388092322803198e-17
-8.986972272180701e-17,0.0,0.0,-7.477492619068646e-19,-9.752472466440908e-18,-141.43814086914062,-134.17393493652344,0.0,0.0,0.0,0.0,0.1,24.973195393880207,-1.8673688722804133e-17,-1.7353050170346564e-16,5.8875075767105314e-18,0.0,6.050494892413029e-19,5,4.0599701986384856e-17,2.4987391895718045,3.998870944325806e-17
-2.9129386903760247e-18,0.0,0.0,-8.700249750252204e-19,-5.042761659562206e-19,-168.95606994628906,-161.38504028320312,0.0,0.0,0.0,0.0,0.125,24.96472676595052,-2.1719935735578335e-17,-1.0719823325579321e-16,3.814326301998135e-20,0.0,6.613164089949738e-19,6,4.552906977993536e-17,3.1229632165696883,6.636535260756923e-17
-2.1851338048533756e-16,0.0,0.0,-8.54146210743162e-19,9.729701604924902e-17,-193.70321655273438,-185.5113067626953,0.0,0.0,0.0,0.0,0.15,24.955550299750435,-2.131569073204453e-17,-6.886649176418379e-17,8.4989995824315e-18,0.0,5.975332851828691e-19,7,4.657201549218917e-17,3.7469666798909502,9.456304555347474e-17
3.623441197902754e-17,0.0,0.0,-1.090756753388224e-18,-3.210049314875921e-17,-213.85328674316406,-204.91160583496094,0.0,0.0,0.0,0.0,0.175,24.945769839816624,-2.720976802497027e-17,-6.19438106002826e-17,5.640388207927852e-18,0.0,2.3797869621197363e-19,8,5.672704717470667e-17,4.370733181635538,1.2617310404012124e-16
1.3360792579604976e-16,0.0,0.0,-9.34376628889611e-19,1.4196018811888508e-17,-228.21131896972656,-218.574951171875,0.0,0.0,0.0,0.0,0.19999999999999998,24.935529496934677,-2.3299176093810602e-17,-4.9830389112876403e-17,-7.03336756787339e-18,0.0,-8.318958097603446e-19,9,5.392302070343767e-17,4.994249423344929,1.600379789364745e-16
-4.3733517592381e-17,0.0,0.0,-4.492121680160737e-19,1.4723964884893087e-17,-236.2314910888672,-226.08316040039062,0.0,0.0,0.0,0.0,0.22499999999999998,24.92499457465278,-1.119661107621729e-17,-2.256040226578511e-16,-2.1021702034047278e-17,0.0,-2.173068424516793e-18,10,3.9744221870715164e-17,5.617505974239772,1.8879707644454615e-16
