AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.2696031531484001e-17,0.0,0.0,0.0,0.0,0.763253331184,0.201391890646,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,1.83355319577e-17,0.0,0.0,0.0,1,0.0,0.0,0.0
-1.4511050815016002e-16,0.0,0.0,-1.665451906292889e-19,-1.580526748880745e-16,-59.2388153076,-52.4997787476,0.0,0.0,0.0,0.0,0.025,11.108966403527777,-1.8501449958833335e-18,-2.3145231532e-17,1.0861052738027803e-19,0.0,-3.883702343803389e-20,2,-8.75180934147e-20,0.2777509689329861,-3.527975694160052e-20
6.631765061527201e-18,0.0,0.0,-3.2058572300959784e-19,-1.0092056615862473e-16,-87.6060562134,-80.6904830932,0.0,0.0,0.0,0.0,0.05,11.106201807666666,-3.560489804861111e-18,-1.84642848699e-15,2.0093622604560757e-18,0.0,-2.191289509523696e-19,3,9.69135559015e-19,0.5554405715729167,1.9477052273615565e-20
-2.0823952927134002e-16,0.0,0.0,-2.834792188609884e-19,9.153336752303947e-17,-124.8281707764,-117.5844726562,0.0,0.0,0.0,0.0,0.075,11.102529101888889,-3.147336295888889e-18,-3.73180947814e-15,-2.5067260942353735e-18,0.0,-3.9755888840466877e-19,4,-3.55882174919e-18,0.8330497079423611,-4.237271107533925e-19
-1.3349042396242e-16,0.0,0.0,-7.201664012962517e-19,-1.495850182028343e-16,-167.6062469482,-159.8956756592,0.0,0.0,0.0,0.0,0.1,11.097758611055555,-7.992231945750001e-18,-1.92550960053e-15,-1.193466971072218e-17,0.0,-1.548886354254714e-19,5,-1.93140105217e-17,1.1105533043541667,-3.7361485715242656e-18
-1.0350434523772e-16,0.0,0.0,-5.369995892537739e-19,-1.0421983250086618e-16,-212.948257446,-204.641036988,0.0,0.0,0.0,0.0,0.125,11.091782252000002,-5.9562826536111105e-18,2.38549338364e-15,-2.0294500990155845e-17,0.0,8.275684558279459e-19,6,-4.47336727552e-17,1.387922565142361,-1.279198480544274e-17
-1.8672874144722002e-16,0.0,0.0,-3.749754541256298e-19,2.4359370770953955e-16,-258.035461426,-249.033493042,0.0,0.0,0.0,0.0,0.15,11.084575653083332,-4.156443795555555e-18,3.82410520562e-16,-1.8249501221660737e-17,0.0,2.074000171650815e-18,7,-7.08090824194e-17,1.6651270389559025,-2.8931703742759265e-17
-1.1713258804058e-17,0.0,0.0,-3.533249404134154e-19,-3.876608015609334e-17,-300.344421386,-290.602142334,0.0,0.0,0.0,0.0,0.175,11.076180140166665,-3.9134907396666666e-18,-1.44784056358e-16,-5.01311355361553e-18,0.0,3.3947798530882785e-18,8,-8.72964265364e-17,1.9421364863715274,-5.093007263586509e-17
-2.3626106570486002e-17,0.0,0.0,-2.933043941074734e-19,-4.052104771102539e-18,-337.772918702,-327.3074646,0.0,0.0,0.0,0.0,0.2,11.066704856027776,-3.2459130178888894e-18,3.66093569034e-16,2.5334521462764385e-18,0.0,4.705909364902449e-18,9,-8.9836168802e-17,2.218922548823958,-7.553333157580977e-17
-1.7760219693958002e-17,0.0,0.0,-5.010063529940398e-19,-2.279379998559587e-17,-368.683624268,-357.573059082,0.0,0.0,0.0,0.0,0.225,11.056305567416667,-5.539279308222223e-18,1.88875244697e-16,9.411040747388413e-18,0.0,5.903687208597381e-18,10,-8.11932100443e-17,2.4954601791170132,-9.929173780210177e-17
