AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.285920161334263e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,33.333333333333336,-0.0,2.8035159353949387e-17,0.0,0.0,0.0,1,0.0,0.0,0.0
-5.3748095681927744e-18,0.0,0.0,7.866879400486266e-21,5.656372189249551e-19,-69.84532928466797,-61.05259323120117,0.0,0.0,0.0,0.0,0.025,33.324103885226776,2.6215668568658635e-19,8.182996706244133e-18,9.681343495467702e-20,0.0,3.8098674267658205e-20,2,6.273846998666765e-20,0.8332179652320015,2.941074971403102e-20
-7.849505726517589e-16,0.0,0.0,4.050573150713672e-21,4.3868022300378554e-17,-77.7755126953125,-70.49665069580078,0.0,0.0,0.0,0.0,0.05,33.31452899509006,1.3494294215376053e-19,-5.171840027366672e-15,-9.656290001672496e-18,0.0,2.4269473817413444e-19,3,-2.367655197332476e-18,1.666200876235962,-9.254581853188713e-19
-1.4869874419367118e-16,0.0,0.0,-1.486772063932971e-19,1.7085678799270964e-18,-87.09060668945312,-81.43402099609375,0.0,0.0,0.0,0.0,0.07500000000000001,33.304693433973526,-4.95164882243919e-18,-1.1262725784399514e-16,-1.6842053421578534e-17,0.0,4.109054562153164e-19,4,-2.068284223424938e-17,2.498941156599257,-1.0582079979782745e-17
1.1739264038982946e-17,0.0,0.0,1.6831469349665586e-19,7.615102069893795e-18,-95.19002532958984,-90.65252685546875,0.0,0.0,0.0,0.0,0.1,33.29459720187717,5.603969887125494e-18,5.762253305352188e-17,-1.1523073587229945e-17,0.0,5.452435348787653e-19,5,-4.2218064311232603e-17,3.3314322895473905,-3.675479053947855e-17
1.699317753553206e-16,0.0,0.0,4.0069801741572634e-19,4.038531657497758e-18,-100.34908294677734,-96.23876953125,0.0,0.0,0.0,0.0,0.125,33.284310234917534,1.33369574548105e-17,-1.6912841853702584e-16,-9.424239653302586e-18,0.0,7.214549924180667e-19,6,-5.731341896733326e-17,4.163668632507324,-7.793391724042887e-17
2.025478482857253e-17,0.0,0.0,6.130302190224983e-19,6.8808164889458154e-18,-101.47154998779297,-97.24532318115234,0.0,0.0,0.0,0.0,0.15,33.273938496907554,2.0397930166058668e-17,9.108200206618165e-17,-7.066342195409775e-18,0.0,7.798984380905449e-19,7,-6.9347024143073e-17,4.995646741655138,-1.3020080906782676e-16
-3.3872649450942764e-17,0.0,0.0,7.597261025146864e-19,2.625824622352452e-18,-98.18260955810547,-93.58277130126953,0.0,0.0,0.0,0.0,0.175,33.263604905870224,2.527122798133205e-17,7.795328916876051e-17,-4.574743562657137e-18,0.0,7.207028811533666e-19,8,-7.752541841638889e-17,5.82736603418986,-1.9070773839904947e-16
-6.427834631306907e-17,0.0,0.0,8.310988859694308e-19,-1.0151784644933854e-18,-90.86412048339844,-85.88712310791016,0.0,0.0,0.0,0.0,0.19999999999999998,33.253426021999786,2.7636885491530732e-17,2.855751398460927e-17,-2.4690311369483782e-18,0.0,5.920581299987873e-19,9,-8.240941039025718e-17,6.658828920788236,-2.5653601348431456e-16
-2.1754763214821282e-17,0.0,0.0,8.311464126563817e-19,4.551505726898896e-18,-80.65965270996094,-75.43941497802734,0.0,0.0,0.0,0.0,0.22499999999999998,33.24349933200412,2.7630214739435277e-17,7.030230525400844e-17,-1.0904915741093923e-18,0.0,4.756573044181876e-19,10,-8.499679164165365e-17,7.4900404877132845,-3.25419999957563e-16
