AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.2871224373353359e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,25.0,-0.0,4.644198828336497e-19,0.0,0.0,0.0,1,0.0,0.0,0.0
-7.677553162822435e-19,0.0,0.0,-3.271365394345611e-21,2.8445279986751766e-18,-67.79900360107422,-59.54044723510742,0.0,0.0,0.0,0.0,0.025,24.994197421603733,-8.176515206179658e-20,-1.51357309961606e-17,-3.4120523100377756e-20,0.0,-3.596427874647705e-21,2,-9.130899753856512e-20,0.6249274677700467,-2.954950328636778e-20
3.476714684892597e-17,0.0,0.0,-5.055004816364593e-21,2.5761631036115414e-18,-88.07141876220703,-80.27772521972656,0.0,0.0,0.0,0.0,0.05,24.987867143419052,-1.2631378251498773e-19,8.631169572775111e-19,-1.5565511153020894e-19,0.0,4.354288007897241e-20,3,-2.762147867819095e-19,1.2497032748328314,-1.469531587936001e-19
6.998722090903066e-17,0.0,0.0,2.4116525445989455e-20,3.6791975652127075e-18,-114.39222717285156,-107.00526428222656,0.0,0.0,0.0,0.0,0.07500000000000001,24.98088624742296,6.024521837346211e-19,2.7043862799143388e-17,-1.5693140230578762e-20,0.0,-1.1542509923261223e-19,4,-3.432021992319265e-19,1.8743126922183566,-3.3444534745375876e-19
-2.1381016188602558e-16,0.0,0.0,-9.055619002307207e-20,-1.7630456364724447e-16,-143.83291625976562,-136.51499938964844,0.0,0.0,0.0,0.0,0.1,24.973138173421223,-2.2614720440960967e-18,-3.567431723291992e-15,-8.083048790146287e-18,0.0,-3.5234180787104206e-19,5,-3.646375094714419e-18,2.4987379974789086,-1.6006196478495676e-18
3.880933393825271e-16,0.0,0.0,2.4129316289389e-19,1.013922637334803e-16,-173.97654724121094,-166.2943572998047,0.0,0.0,0.0,0.0,0.125,24.964572058783638,6.023780591608407e-18,3.7554751551648145e-15,-1.2007111700271606e-17,0.0,-5.746034200461465e-19,6,-2.0493498937674767e-17,3.1229593753814693,-9.087001541488322e-18
1.5618384199965943e-16,0.0,0.0,6.42617804951298e-19,-7.584463699523005e-18,-202.7117462158203,-194.31668090820312,0.0,0.0,0.0,0.0,0.15,24.955209096272785,1.6036662664493027e-17,1.2669296785209185e-16,1.4827842168595678e-17,0.0,-7.639109341346973e-19,7,-1.2115802113209127e-17,3.7469566398196745,-1.8985793576666867e-17
4.5985353690039824e-17,0.0,0.0,3.314728858293939e-19,-1.5677694634800738e-17,-228.372802734375,-219.093017578125,0.0,0.0,0.0,0.0,0.175,24.94511498345269,8.268629751978073e-18,-1.166703760574502e-17,1.4526506110881704e-17,0.0,-1.1874758135091834e-18,8,9.398985293921586e-18,4.370710690816243,-1.953064749920526e-17
1.3090344621016232e-16,0.0,0.0,2.6741127901973795e-20,-7.422010438256622e-18,-249.82911682128906,-239.67425537109375,0.0,0.0,0.0,0.0,0.19999999999999998,24.934391445583767,6.6677374816674455e-19,-1.351189869135816e-16,1.1770709455026096e-17,0.0,-1.930466458666579e-18,9,2.8638309678121e-17,4.994204521179199,-7.562235046218778e-18
3.9821026748643575e-17,0.0,0.0,7.788690637569227e-20,1.2323697506854583e-16,-266.4978942871094,-255.60667419433594,0.0,0.0,0.0,0.0,0.22499999999999998,24.92315928141276,1.9411877109155644e-18,-1.0910093395312238e-16,4.831699511936127e-18,0.0,-2.960553403852535e-18,10,4.218898394961769e-17,5.617423905266656,1.4539884356412336e-17
-7.93326738861219e-17,0.0,0.0,-3.1574533494925637e-19,-2.0991717372177442e-16,-278.2898254394531,-266.8624572753906,0.0,0.0,0.0,0.0,0.24999999999999997,24.911554124620224,-7.865706399245216e-18,-3.665678651327544e-15,1.7937787137285317e-17,0.0,-3.695895313060182e-18,11,6.332491105567054e-17,6.240357822842068,4.732838682402554e-17
1.230809612846484e-15,0.0,0.0,-1.766799534439924e-19,-4.225734368808684e-17,-285.5147399902344,-273.7538146972656,0.0,0.0,0.0,0.0,0.27499999999999997,24.899696773952908,-4.3992773698020224e-18,4.0478907808917e-16,3.9019103690741014e-17,0.0,-4.661308427727435e-18,12,9.18143745456463e-17,6.862998459074232,9.547097496287283e-17
-3.1224420777143284e-16,0.0,0.0,-9.85336555928703e-19,-4.700916417906983e-17,-288.7607116699219,-276.8377380371094,0.0,0.0,0.0,0.0,0.3,24.88770802815755,-2.4522769228586124e-17,-5.910693314729442e-16,2.7132909121768556e-17,0.0,-5.9303894684185955e-18,13,1.413787853869175e-16,7.485341019100614,1.6766874960241657e-16
2.751401525248514e-16,0.0,0.0,-1.5302582606417608e-18,-3.3720230359133375e-17,-288.7810974121094,-276.822998046875,0.0,0.0,0.0,0.0,0.325,24.87568113538954,-3.806621577970824e-17,-3.5493473581098755e-15,1.619142913119309e-17,0.0,-7.631799586748867e-18,14,1.715690380954207e-16,8.107383383644953,2.642175199954672e-16
2.432570859424147e-16,0.0,0.0,-1.722598820480049e-18,2.924300532130455e-18,-286.39068603515625,-274.4822082519531,0.0,0.0,0.0,0.0,0.35000000000000003,24.863692389594185,-4.2830169508897803e-17,-2.961510410242772e-16,1.0754609908325096e-17,0.0,-9.618511656119926e-18,15,1.9265223078306207e-16,8.72912555270725,3.764305962884391e-16
-1.0148996903640562e-15,0.0,0.0,-1.872997165706342e-18,-8.846840509101712e-17,-282.3857727050781,-270.5767517089844,0.0,0.0,0.0,0.0,0.37500000000000006,24.85179689195421,-4.6547346392872044e-17,-1.1168915032606528e-15,-1.4854825777163615e-17,0.0,-1.1772231232978137e-17,16,1.99702125707729e-16,9.350569168726606,4.972259082314064e-16
4.89559864796884e-16,0.0,0.0,-1.4941705484879427e-18,7.507319628623324e-17,-277.48468017578125,-265.7991638183594,0.0,0.0,0.0,0.0,0.4000000000000001,24.8400264316135,-3.7115237478501384e-17,3.347175204918614e-15,-2.7544552367719575e-17,0.0,-1.391789749069246e-17,17,1.6939740443733828e-16,9.971716960271204,6.108150343161417e-16
-2.3830879556517145e-16,0.0,0.0,-4.055073947457904e-19,1.648188378357276e-16,-272.2906799316406,-260.73431396484375,0.0,0.0,0.0,0.0,0.4250000000000001,24.82839796278212,-1.0068098676496458e-17,-3.7993898430130097e-16,-4.3283363896518904e-17,0.0,-1.633987408916203e-17,18,1.311237839642893e-16,10.592572265201149,7.035181112932225e-16
